index,benchmark_id,sample_path,proposal_id,dao,chain_id,status,simulation_status,trace_source,risk_action_count,llm_status,overall_score,risk_level,error,elapsed_seconds,trace_input,risk_actions_input,semantics_input,score_output
21,real-arbitrum-0001,data\raw_samples\real-arbitrum-0001.json,71941171835710778457735937894689629320431683601089057868136768380925169329077,Arbitrum,42161,success,success,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0001-trace.json,outputs\risk_actions\real-arbitrum-0001-risk-actions.json,outputs\semantics\real-arbitrum-0001-semantics.json,outputs\scores\real-arbitrum-0001-score.json
22,real-arbitrum-0002,data\raw_samples\real-arbitrum-0002.json,70545629960586317780628692755032548222173912190231545322320044688071893662480,Arbitrum,42161,success,success,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0002-trace.json,outputs\risk_actions\real-arbitrum-0002-risk-actions.json,outputs\semantics\real-arbitrum-0002-semantics.json,outputs\scores\real-arbitrum-0002-score.json
23,real-arbitrum-0003,data\raw_samples\real-arbitrum-0003.json,4339452689891418965907083940091891085726910948106830138993485564953310970308,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0003-trace.json,outputs\risk_actions\real-arbitrum-0003-risk-actions.json,outputs\semantics\real-arbitrum-0003-semantics.json,outputs\scores\real-arbitrum-0003-score.json
24,real-arbitrum-0004,data\raw_samples\real-arbitrum-0004.json,77069694702187027448745871790562515795432836429094222862498991082283032976814,Arbitrum,42161,success,reverted_with_trace,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0004-trace.json,outputs\risk_actions\real-arbitrum-0004-risk-actions.json,outputs\semantics\real-arbitrum-0004-semantics.json,outputs\scores\real-arbitrum-0004-score.json
25,real-arbitrum-0005,data\raw_samples\real-arbitrum-0005.json,55434268037459750836497365958054185343730937462615166912204494229415053613423,Arbitrum,42161,success,reverted_with_trace,simulated_trace,2,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0005-trace.json,outputs\risk_actions\real-arbitrum-0005-risk-actions.json,outputs\semantics\real-arbitrum-0005-semantics.json,outputs\scores\real-arbitrum-0005-score.json
26,real-arbitrum-0006,data\raw_samples\real-arbitrum-0006.json,6269372711941757139042689495856382466058496535755800373140231592090274906424,Arbitrum,42161,success,reverted_with_trace,simulated_trace,2,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0006-trace.json,outputs\risk_actions\real-arbitrum-0006-risk-actions.json,outputs\semantics\real-arbitrum-0006-semantics.json,outputs\scores\real-arbitrum-0006-score.json
27,real-arbitrum-0007,data\raw_samples\real-arbitrum-0007.json,38701323908152171422214887490453506732497504710759730413296983575898180294585,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0007-trace.json,outputs\risk_actions\real-arbitrum-0007-risk-actions.json,outputs\semantics\real-arbitrum-0007-semantics.json,outputs\scores\real-arbitrum-0007-score.json
28,real-arbitrum-0008,data\raw_samples\real-arbitrum-0008.json,98446466630612736687159241204141593794174501692677162686607521796118942563659,Arbitrum,42161,success,success,simulated_trace,4,repaired,4,HIGH,,0.001,outputs\traces\real-arbitrum-0008-trace.json,outputs\risk_actions\real-arbitrum-0008-risk-actions.json,outputs\semantics\real-arbitrum-0008-semantics.json,outputs\scores\real-arbitrum-0008-score.json
29,real-arbitrum-0009,data\raw_samples\real-arbitrum-0009.json,7516302970844612385418101444853135774524286064427379173725195909617827683975,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.003,outputs\traces\real-arbitrum-0009-trace.json,outputs\risk_actions\real-arbitrum-0009-risk-actions.json,outputs\semantics\real-arbitrum-0009-semantics.json,outputs\scores\real-arbitrum-0009-score.json
30,real-arbitrum-0010,data\raw_samples\real-arbitrum-0010.json,79529399410531589353911088395953830829384332193617716676855043534419270111970,Arbitrum,42161,success,success,simulated_trace,4,repaired,8,LOW,,0.001,outputs\traces\real-arbitrum-0010-trace.json,outputs\risk_actions\real-arbitrum-0010-risk-actions.json,outputs\semantics\real-arbitrum-0010-semantics.json,outputs\scores\real-arbitrum-0010-score.json
31,real-arbitrum-0011,data\raw_samples\real-arbitrum-0011.json,3552942192106351362095426680857341385146921274641698065112264407057470303359,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0011-trace.json,outputs\risk_actions\real-arbitrum-0011-risk-actions.json,outputs\semantics\real-arbitrum-0011-semantics.json,outputs\scores\real-arbitrum-0011-score.json
32,real-arbitrum-0012,data\raw_samples\real-arbitrum-0012.json,112325874093084064493910714319140234408317576120604499542718372361020687891105,Arbitrum,42161,success,reverted_with_trace,simulated_trace,0,repaired,8,LOW,,0.001,outputs\traces\real-arbitrum-0012-trace.json,outputs\risk_actions\real-arbitrum-0012-risk-actions.json,outputs\semantics\real-arbitrum-0012-semantics.json,outputs\scores\real-arbitrum-0012-score.json
33,real-arbitrum-0013,data\raw_samples\real-arbitrum-0013.json,108658450973990931334575713480652794742647878863726354508911679874665321261959,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0013-trace.json,outputs\risk_actions\real-arbitrum-0013-risk-actions.json,outputs\semantics\real-arbitrum-0013-semantics.json,outputs\scores\real-arbitrum-0013-score.json
34,real-arbitrum-0014,data\raw_samples\real-arbitrum-0014.json,111105159609719390908725919603971316574753860587890014819515615630412225940809,Arbitrum,42161,success,success,simulated_trace,6,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0014-trace.json,outputs\risk_actions\real-arbitrum-0014-risk-actions.json,outputs\semantics\real-arbitrum-0014-semantics.json,outputs\scores\real-arbitrum-0014-score.json
35,real-arbitrum-0015,data\raw_samples\real-arbitrum-0015.json,71020107401388505040510993373598301285550678565865201408741893567942851985019,Arbitrum,42161,success,reverted_with_trace,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0015-trace.json,outputs\risk_actions\real-arbitrum-0015-risk-actions.json,outputs\semantics\real-arbitrum-0015-semantics.json,outputs\scores\real-arbitrum-0015-score.json
36,real-arbitrum-0016,data\raw_samples\real-arbitrum-0016.json,13050485773425645466153415888358064378805606653363056526521393182333458879398,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0016-trace.json,outputs\risk_actions\real-arbitrum-0016-risk-actions.json,outputs\semantics\real-arbitrum-0016-semantics.json,outputs\scores\real-arbitrum-0016-score.json
37,real-arbitrum-0017,data\raw_samples\real-arbitrum-0017.json,13108804573775967668959825241666341617107666532012387058509418598838035461528,Arbitrum,42161,success,reverted_with_trace,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0017-trace.json,outputs\risk_actions\real-arbitrum-0017-risk-actions.json,outputs\semantics\real-arbitrum-0017-semantics.json,outputs\scores\real-arbitrum-0017-score.json
38,real-arbitrum-0018,data\raw_samples\real-arbitrum-0018.json,27831845498978337986467036886891836384283300266814708262424272663046958396151,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0018-trace.json,outputs\risk_actions\real-arbitrum-0018-risk-actions.json,outputs\semantics\real-arbitrum-0018-semantics.json,outputs\scores\real-arbitrum-0018-score.json
39,real-arbitrum-0019,data\raw_samples\real-arbitrum-0019.json,16288348195459185256236376597446433097934740027053618232242382845767010422421,Arbitrum,42161,success,reverted_with_trace,simulated_trace,1,success,4,HIGH,,0.001,outputs\traces\real-arbitrum-0019-trace.json,outputs\risk_actions\real-arbitrum-0019-risk-actions.json,outputs\semantics\real-arbitrum-0019-semantics.json,outputs\scores\real-arbitrum-0019-score.json
40,real-arbitrum-0020,data\raw_samples\real-arbitrum-0020.json,41764616447638715300612914863093416410063619332654034338488569044333128121381,Arbitrum,42161,success,success,simulated_trace,4,success,8,LOW,,0.001,outputs\traces\real-arbitrum-0020-trace.json,outputs\risk_actions\real-arbitrum-0020-risk-actions.json,outputs\semantics\real-arbitrum-0020-semantics.json,outputs\scores\real-arbitrum-0020-score.json
41,real-compound-0001,data\raw_samples\real-compound-0001.json,51,Compound,1,success,success,simulated_trace,2,success,6,MEDIUM,,0.001,outputs\traces\real-compound-0001-trace.json,outputs\risk_actions\real-compound-0001-risk-actions.json,outputs\semantics\real-compound-0001-semantics.json,outputs\scores\real-compound-0001-score.json
42,real-compound-0002,data\raw_samples\real-compound-0002.json,188,Compound,1,success,success,simulated_trace,4,success,4,HIGH,,0.001,outputs\traces\real-compound-0002-trace.json,outputs\risk_actions\real-compound-0002-risk-actions.json,outputs\semantics\real-compound-0002-semantics.json,outputs\scores\real-compound-0002-score.json
43,real-compound-0003,data\raw_samples\real-compound-0003.json,176,Compound,1,success,success,simulated_trace,19,success,2,CRITICAL,,0.003,outputs\traces\real-compound-0003-trace.json,outputs\risk_actions\real-compound-0003-risk-actions.json,outputs\semantics\real-compound-0003-semantics.json,outputs\scores\real-compound-0003-score.json
44,real-compound-0004,data\raw_samples\real-compound-0004.json,119,Compound,1,success,success,simulated_trace,2,success,8,LOW,,0.001,outputs\traces\real-compound-0004-trace.json,outputs\risk_actions\real-compound-0004-risk-actions.json,outputs\semantics\real-compound-0004-semantics.json,outputs\scores\real-compound-0004-score.json
45,real-compound-0005,data\raw_samples\real-compound-0005.json,134,Compound,1,success,reverted_with_trace,simulated_trace,1,success,8,LOW,,0.001,outputs\traces\real-compound-0005-trace.json,outputs\risk_actions\real-compound-0005-risk-actions.json,outputs\semantics\real-compound-0005-semantics.json,outputs\scores\real-compound-0005-score.json
46,real-compound-0006,data\raw_samples\real-compound-0006.json,175,Compound,1,success,reverted_with_trace,simulated_trace,1,success,8,LOW,,0.001,outputs\traces\real-compound-0006-trace.json,outputs\risk_actions\real-compound-0006-risk-actions.json,outputs\semantics\real-compound-0006-semantics.json,outputs\scores\real-compound-0006-score.json
47,real-compound-0007,data\raw_samples\real-compound-0007.json,255,Compound,1,success,success,simulated_trace,25,success,4,HIGH,,0.003,outputs\traces\real-compound-0007-trace.json,outputs\risk_actions\real-compound-0007-risk-actions.json,outputs\semantics\real-compound-0007-semantics.json,outputs\scores\real-compound-0007-score.json
48,real-compound-0008,data\raw_samples\real-compound-0008.json,238,Compound,1,success,success,simulated_trace,24,repaired,4,HIGH,,0.003,outputs\traces\real-compound-0008-trace.json,outputs\risk_actions\real-compound-0008-risk-actions.json,outputs\semantics\real-compound-0008-semantics.json,outputs\scores\real-compound-0008-score.json
49,real-compound-0009,data\raw_samples\real-compound-0009.json,258,Compound,1,success,success,simulated_trace,17,success,4,HIGH,,0.003,outputs\traces\real-compound-0009-trace.json,outputs\risk_actions\real-compound-0009-risk-actions.json,outputs\semantics\real-compound-0009-semantics.json,outputs\scores\real-compound-0009-score.json
50,real-compound-0010,data\raw_samples\real-compound-0010.json,341,Compound,1,success,success,simulated_trace,30,success,6,MEDIUM,,0.004,outputs\traces\real-compound-0010-trace.json,outputs\risk_actions\real-compound-0010-risk-actions.json,outputs\semantics\real-compound-0010-semantics.json,outputs\scores\real-compound-0010-score.json
51,real-compound-0011,data\raw_samples\real-compound-0011.json,318,Compound,1,success,success,simulated_trace,4,success,4,HIGH,,0.002,outputs\traces\real-compound-0011-trace.json,outputs\risk_actions\real-compound-0011-risk-actions.json,outputs\semantics\real-compound-0011-semantics.json,outputs\scores\real-compound-0011-score.json
52,real-compound-0012,data\raw_samples\real-compound-0012.json,240,Compound,1,success,success,simulated_trace,39,success,6,MEDIUM,,0.006,outputs\traces\real-compound-0012-trace.json,outputs\risk_actions\real-compound-0012-risk-actions.json,outputs\semantics\real-compound-0012-semantics.json,outputs\scores\real-compound-0012-score.json
53,real-compound-0013,data\raw_samples\real-compound-0013.json,402,Compound,1,success,success,simulated_trace,11,success,4,HIGH,,0.002,outputs\traces\real-compound-0013-trace.json,outputs\risk_actions\real-compound-0013-risk-actions.json,outputs\semantics\real-compound-0013-semantics.json,outputs\scores\real-compound-0013-score.json
54,real-compound-0014,data\raw_samples\real-compound-0014.json,426,Compound,1,success,success,simulated_trace,44,success,2,CRITICAL,,0.006,outputs\traces\real-compound-0014-trace.json,outputs\risk_actions\real-compound-0014-risk-actions.json,outputs\semantics\real-compound-0014-semantics.json,outputs\scores\real-compound-0014-score.json
55,real-compound-0015,data\raw_samples\real-compound-0015.json,418,Compound,1,success,success,simulated_trace,45,success,6,MEDIUM,,0.005,outputs\traces\real-compound-0015-trace.json,outputs\risk_actions\real-compound-0015-risk-actions.json,outputs\semantics\real-compound-0015-semantics.json,outputs\scores\real-compound-0015-score.json
56,real-compound-0016,data\raw_samples\real-compound-0016.json,451,Compound,1,success,success,simulated_trace,7,success,6,MEDIUM,,0.002,outputs\traces\real-compound-0016-trace.json,outputs\risk_actions\real-compound-0016-risk-actions.json,outputs\semantics\real-compound-0016-semantics.json,outputs\scores\real-compound-0016-score.json
57,real-compound-0017,data\raw_samples\real-compound-0017.json,466,Compound,1,success,success,simulated_trace,8,success,6,MEDIUM,,0.002,outputs\traces\real-compound-0017-trace.json,outputs\risk_actions\real-compound-0017-risk-actions.json,outputs\semantics\real-compound-0017-semantics.json,outputs\scores\real-compound-0017-score.json
58,real-compound-0018,data\raw_samples\real-compound-0018.json,442,Compound,1,success,success,simulated_trace,80,success,2,CRITICAL,,0.012,outputs\traces\real-compound-0018-trace.json,outputs\risk_actions\real-compound-0018-risk-actions.json,outputs\semantics\real-compound-0018-semantics.json,outputs\scores\real-compound-0018-score.json
59,real-compound-0019,data\raw_samples\real-compound-0019.json,545,Compound,1,success,reverted_with_trace,simulated_trace,11,success,4,HIGH,,0.002,outputs\traces\real-compound-0019-trace.json,outputs\risk_actions\real-compound-0019-risk-actions.json,outputs\semantics\real-compound-0019-semantics.json,outputs\scores\real-compound-0019-score.json
60,real-compound-0020,data\raw_samples\real-compound-0020.json,506,Compound,1,success,success,simulated_trace,9,success,6,MEDIUM,,0.002,outputs\traces\real-compound-0020-trace.json,outputs\risk_actions\real-compound-0020-risk-actions.json,outputs\semantics\real-compound-0020-semantics.json,outputs\scores\real-compound-0020-score.json
61,real-ens-0001,data\raw_samples\real-ens-0001.json,55447465396737793905646186593156244424717001140618132725073945884287085787959,ENS,1,success,success,simulated_trace,12,success,4,HIGH,,0.008,outputs\traces\real-ens-0001-trace.json,outputs\risk_actions\real-ens-0001-risk-actions.json,outputs\semantics\real-ens-0001-semantics.json,outputs\scores\real-ens-0001-score.json
62,real-ens-0002,data\raw_samples\real-ens-0002.json,43203199770691383238593940280239053946984014979449022275641313046078578194694,ENS,1,success,success,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-ens-0002-trace.json,outputs\risk_actions\real-ens-0002-risk-actions.json,outputs\semantics\real-ens-0002-semantics.json,outputs\scores\real-ens-0002-score.json
63,real-ens-0003,data\raw_samples\real-ens-0003.json,90476529665364161211265365238121921179703522228680648046371476645353679539653,ENS,1,success,success,simulated_trace,1,success,4,HIGH,,0.001,outputs\traces\real-ens-0003-trace.json,outputs\risk_actions\real-ens-0003-risk-actions.json,outputs\semantics\real-ens-0003-semantics.json,outputs\scores\real-ens-0003-score.json
64,real-ens-0004,data\raw_samples\real-ens-0004.json,112764562576314516994943312429834673309292069549953740415731020720942627228986,ENS,1,success,success,simulated_trace,2,success,8,LOW,,0.001,outputs\traces\real-ens-0004-trace.json,outputs\risk_actions\real-ens-0004-risk-actions.json,outputs\semantics\real-ens-0004-semantics.json,outputs\scores\real-ens-0004-score.json
65,real-ens-0005,data\raw_samples\real-ens-0005.json,27850654116740852236526757351596115114486670304472932313768517382407193376455,ENS,1,success,reverted_with_trace,simulated_trace,2,success,8,LOW,,0.001,outputs\traces\real-ens-0005-trace.json,outputs\risk_actions\real-ens-0005-risk-actions.json,outputs\semantics\real-ens-0005-semantics.json,outputs\scores\real-ens-0005-score.json
66,real-ens-0006,data\raw_samples\real-ens-0006.json,8759198094868535520038506706231539487662297008587733129541987545743856603253,ENS,1,success,success,simulated_trace,1,success,8,LOW,,0.001,outputs\traces\real-ens-0006-trace.json,outputs\risk_actions\real-ens-0006-risk-actions.json,outputs\semantics\real-ens-0006-semantics.json,outputs\scores\real-ens-0006-score.json
67,real-ens-0007,data\raw_samples\real-ens-0007.json,33504840096777976512510989921427323867039135570342563123194157971712476988820,ENS,1,success,success,simulated_trace,2,success,8,LOW,,0.001,outputs\traces\real-ens-0007-trace.json,outputs\risk_actions\real-ens-0007-risk-actions.json,outputs\semantics\real-ens-0007-semantics.json,outputs\scores\real-ens-0007-score.json
68,real-ens-0008,data\raw_samples\real-ens-0008.json,31309365093913580207991288430108338667724061355449265288906484597789511363394,ENS,1,success,success,simulated_trace,4,success,6,MEDIUM,,0.001,outputs\traces\real-ens-0008-trace.json,outputs\risk_actions\real-ens-0008-risk-actions.json,outputs\semantics\real-ens-0008-semantics.json,outputs\scores\real-ens-0008-score.json
69,real-ens-0009,data\raw_samples\real-ens-0009.json,33657496545373741813637578444724485346468737982573562831880427564621945332995,ENS,1,success,success,simulated_trace,2,success,8,LOW,,0.001,outputs\traces\real-ens-0009-trace.json,outputs\risk_actions\real-ens-0009-risk-actions.json,outputs\semantics\real-ens-0009-semantics.json,outputs\scores\real-ens-0009-score.json
70,real-ens-0010,data\raw_samples\real-ens-0010.json,40272043175867710511047990376059633000673751036364092383567949469124429500507,ENS,1,success,success,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-ens-0010-trace.json,outputs\risk_actions\real-ens-0010-risk-actions.json,outputs\semantics\real-ens-0010-semantics.json,outputs\scores\real-ens-0010-score.json
71,real-ens-0011,data\raw_samples\real-ens-0011.json,107992041043258996427224563090014372885335179099580585497266204203463156791290,ENS,1,success,success,simulated_trace,4,success,6,MEDIUM,,0.003,outputs\traces\real-ens-0011-trace.json,outputs\risk_actions\real-ens-0011-risk-actions.json,outputs\semantics\real-ens-0011-semantics.json,outputs\scores\real-ens-0011-score.json
72,real-ens-0012,data\raw_samples\real-ens-0012.json,13214174724111749338017943143826453367599509196993220699255450633508989705578,ENS,1,success,reverted_with_trace,simulated_trace,59,success,4,HIGH,,0.005,outputs\traces\real-ens-0012-trace.json,outputs\risk_actions\real-ens-0012-risk-actions.json,outputs\semantics\real-ens-0012-semantics.json,outputs\scores\real-ens-0012-score.json
73,real-ens-0013,data\raw_samples\real-ens-0013.json,20404686300257550242704646761273386459664655640264490428281621095220078268383,ENS,1,success,reverted_with_trace,simulated_trace,12,repaired,4,HIGH,,0.002,outputs\traces\real-ens-0013-trace.json,outputs\risk_actions\real-ens-0013-risk-actions.json,outputs\semantics\real-ens-0013-semantics.json,outputs\scores\real-ens-0013-score.json
74,real-ens-0014,data\raw_samples\real-ens-0014.json,31038548146097859834078018568437840147798885401616129864120868194533406456350,ENS,1,success,reverted_with_trace,simulated_trace,0,success,9,LOW,,0.001,outputs\traces\real-ens-0014-trace.json,outputs\risk_actions\real-ens-0014-risk-actions.json,outputs\semantics\real-ens-0014-semantics.json,outputs\scores\real-ens-0014-score.json
75,real-ens-0015,data\raw_samples\real-ens-0015.json,108835189906614532703236602621229289879643217303874617456878894788222576090451,ENS,1,success,success,simulated_trace,2,success,6,MEDIUM,,0.002,outputs\traces\real-ens-0015-trace.json,outputs\risk_actions\real-ens-0015-risk-actions.json,outputs\semantics\real-ens-0015-semantics.json,outputs\scores\real-ens-0015-score.json
76,real-ens-0016,data\raw_samples\real-ens-0016.json,28252712932062322633429808688780331957150867173093906455161078029287649387260,ENS,1,success,success,simulated_trace,1,success,6,MEDIUM,,0.001,outputs\traces\real-ens-0016-trace.json,outputs\risk_actions\real-ens-0016-risk-actions.json,outputs\semantics\real-ens-0016-semantics.json,outputs\scores\real-ens-0016-score.json
77,real-ens-0017,data\raw_samples\real-ens-0017.json,48262157524430528705514027771464261215955420389394621161356313649894506972547,ENS,1,success,success,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-ens-0017-trace.json,outputs\risk_actions\real-ens-0017-risk-actions.json,outputs\semantics\real-ens-0017-semantics.json,outputs\scores\real-ens-0017-score.json
78,real-ens-0018,data\raw_samples\real-ens-0018.json,69304512515872868228453463730257567312488838925636819022683533220991373699419,ENS,1,success,reverted_with_trace,simulated_trace,0,success,9,LOW,,0.001,outputs\traces\real-ens-0018-trace.json,outputs\risk_actions\real-ens-0018-risk-actions.json,outputs\semantics\real-ens-0018-semantics.json,outputs\scores\real-ens-0018-score.json
79,real-ens-0019,data\raw_samples\real-ens-0019.json,43003012871521685709452092060115706577030630127946926655190871046443785691900,ENS,1,success,reverted_with_trace,simulated_trace,0,success,9,LOW,,0.002,outputs\traces\real-ens-0019-trace.json,outputs\risk_actions\real-ens-0019-risk-actions.json,outputs\semantics\real-ens-0019-semantics.json,outputs\scores\real-ens-0019-score.json
80,real-ens-0020,data\raw_samples\real-ens-0020.json,93339540979084434403669350155813124666788975924280943502320960019054315770244,ENS,1,success,success,simulated_trace,0,success,8,LOW,,0.001,outputs\traces\real-ens-0020-trace.json,outputs\risk_actions\real-ens-0020-risk-actions.json,outputs\semantics\real-ens-0020-semantics.json,outputs\scores\real-ens-0020-score.json
