index,score_input,report_output,proposal_id,status,overall_score,risk_level,error,elapsed_seconds
27,outputs\scores\real-arbitrum-0007-score.json,outputs\reports\real-arbitrum-0007-score.md,38701323908152171422214887490453506732497504710759730413296983575898180294585,success,8,LOW,,0.001
28,outputs\scores\real-arbitrum-0008-score.json,outputs\reports\real-arbitrum-0008-score.md,98446466630612736687159241204141593794174501692677162686607521796118942563659,success,4,HIGH,,0.001
29,outputs\scores\real-arbitrum-0009-score.json,outputs\reports\real-arbitrum-0009-score.md,7516302970844612385418101444853135774524286064427379173725195909617827683975,success,8,LOW,,0.001
30,outputs\scores\real-arbitrum-0010-score.json,outputs\reports\real-arbitrum-0010-score.md,79529399410531589353911088395953830829384332193617716676855043534419270111970,success,8,LOW,,0.001
31,outputs\scores\real-arbitrum-0011-score.json,outputs\reports\real-arbitrum-0011-score.md,3552942192106351362095426680857341385146921274641698065112264407057470303359,success,8,LOW,,0.001
32,outputs\scores\real-arbitrum-0012-score.json,outputs\reports\real-arbitrum-0012-score.md,112325874093084064493910714319140234408317576120604499542718372361020687891105,success,8,LOW,,0.001
33,outputs\scores\real-arbitrum-0013-score.json,outputs\reports\real-arbitrum-0013-score.md,108658450973990931334575713480652794742647878863726354508911679874665321261959,success,8,LOW,,0.001
34,outputs\scores\real-arbitrum-0014-score.json,outputs\reports\real-arbitrum-0014-score.md,111105159609719390908725919603971316574753860587890014819515615630412225940809,success,8,LOW,,0.001
35,outputs\scores\real-arbitrum-0015-score.json,outputs\reports\real-arbitrum-0015-score.md,71020107401388505040510993373598301285550678565865201408741893567942851985019,success,8,LOW,,0.001
36,outputs\scores\real-arbitrum-0016-score.json,outputs\reports\real-arbitrum-0016-score.md,13050485773425645466153415888358064378805606653363056526521393182333458879398,success,8,LOW,,0.001
37,outputs\scores\real-arbitrum-0017-score.json,outputs\reports\real-arbitrum-0017-score.md,13108804573775967668959825241666341617107666532012387058509418598838035461528,success,8,LOW,,0.001
38,outputs\scores\real-arbitrum-0018-score.json,outputs\reports\real-arbitrum-0018-score.md,27831845498978337986467036886891836384283300266814708262424272663046958396151,success,8,LOW,,0.001
39,outputs\scores\real-arbitrum-0019-score.json,outputs\reports\real-arbitrum-0019-score.md,16288348195459185256236376597446433097934740027053618232242382845767010422421,success,4,HIGH,,0.001
40,outputs\scores\real-arbitrum-0020-score.json,outputs\reports\real-arbitrum-0020-score.md,41764616447638715300612914863093416410063619332654034338488569044333128121381,success,8,LOW,,0.001
41,outputs\scores\real-compound-0001-score.json,outputs\reports\real-compound-0001-score.md,51,success,6,MEDIUM,,0.001
42,outputs\scores\real-compound-0002-score.json,outputs\reports\real-compound-0002-score.md,188,success,4,HIGH,,0.001
43,outputs\scores\real-compound-0003-score.json,outputs\reports\real-compound-0003-score.md,176,success,2,CRITICAL,,0.002
44,outputs\scores\real-compound-0004-score.json,outputs\reports\real-compound-0004-score.md,119,success,8,LOW,,0.001
45,outputs\scores\real-compound-0005-score.json,outputs\reports\real-compound-0005-score.md,134,success,8,LOW,,0.001
46,outputs\scores\real-compound-0006-score.json,outputs\reports\real-compound-0006-score.md,175,success,8,LOW,,0.001
47,outputs\scores\real-compound-0007-score.json,outputs\reports\real-compound-0007-score.md,255,success,4,HIGH,,0.001
48,outputs\scores\real-compound-0008-score.json,outputs\reports\real-compound-0008-score.md,238,success,4,HIGH,,0.002
49,outputs\scores\real-compound-0009-score.json,outputs\reports\real-compound-0009-score.md,258,success,4,HIGH,,0.001
50,outputs\scores\real-compound-0010-score.json,outputs\reports\real-compound-0010-score.md,341,success,6,MEDIUM,,0.002
51,outputs\scores\real-compound-0011-score.json,outputs\reports\real-compound-0011-score.md,318,success,4,HIGH,,0.001
52,outputs\scores\real-compound-0012-score.json,outputs\reports\real-compound-0012-score.md,240,success,6,MEDIUM,,0.001
53,outputs\scores\real-compound-0013-score.json,outputs\reports\real-compound-0013-score.md,402,success,4,HIGH,,0.001
54,outputs\scores\real-compound-0014-score.json,outputs\reports\real-compound-0014-score.md,426,success,2,CRITICAL,,0.003
55,outputs\scores\real-compound-0015-score.json,outputs\reports\real-compound-0015-score.md,418,success,6,MEDIUM,,0.003
56,outputs\scores\real-compound-0016-score.json,outputs\reports\real-compound-0016-score.md,451,success,6,MEDIUM,,0.001
57,outputs\scores\real-compound-0017-score.json,outputs\reports\real-compound-0017-score.md,466,success,6,MEDIUM,,0.001
58,outputs\scores\real-compound-0018-score.json,outputs\reports\real-compound-0018-score.md,442,success,2,CRITICAL,,0.004
59,outputs\scores\real-compound-0019-score.json,outputs\reports\real-compound-0019-score.md,545,success,4,HIGH,,0.001
60,outputs\scores\real-compound-0020-score.json,outputs\reports\real-compound-0020-score.md,506,success,6,MEDIUM,,0.001
61,outputs\scores\real-ens-0001-score.json,outputs\reports\real-ens-0001-score.md,55447465396737793905646186593156244424717001140618132725073945884287085787959,success,4,HIGH,,0.003
62,outputs\scores\real-ens-0002-score.json,outputs\reports\real-ens-0002-score.md,43203199770691383238593940280239053946984014979449022275641313046078578194694,success,8,LOW,,0.001
63,outputs\scores\real-ens-0003-score.json,outputs\reports\real-ens-0003-score.md,90476529665364161211265365238121921179703522228680648046371476645353679539653,success,4,HIGH,,0.001
64,outputs\scores\real-ens-0004-score.json,outputs\reports\real-ens-0004-score.md,112764562576314516994943312429834673309292069549953740415731020720942627228986,success,8,LOW,,0.001
65,outputs\scores\real-ens-0005-score.json,outputs\reports\real-ens-0005-score.md,27850654116740852236526757351596115114486670304472932313768517382407193376455,success,8,LOW,,0.001
66,outputs\scores\real-ens-0006-score.json,outputs\reports\real-ens-0006-score.md,8759198094868535520038506706231539487662297008587733129541987545743856603253,success,8,LOW,,0.001
67,outputs\scores\real-ens-0007-score.json,outputs\reports\real-ens-0007-score.md,33504840096777976512510989921427323867039135570342563123194157971712476988820,success,8,LOW,,0.001
68,outputs\scores\real-ens-0008-score.json,outputs\reports\real-ens-0008-score.md,31309365093913580207991288430108338667724061355449265288906484597789511363394,success,6,MEDIUM,,0.001
69,outputs\scores\real-ens-0009-score.json,outputs\reports\real-ens-0009-score.md,33657496545373741813637578444724485346468737982573562831880427564621945332995,success,8,LOW,,0.001
70,outputs\scores\real-ens-0010-score.json,outputs\reports\real-ens-0010-score.md,40272043175867710511047990376059633000673751036364092383567949469124429500507,success,8,LOW,,0.001
71,outputs\scores\real-ens-0011-score.json,outputs\reports\real-ens-0011-score.md,107992041043258996427224563090014372885335179099580585497266204203463156791290,success,6,MEDIUM,,0.001
72,outputs\scores\real-ens-0012-score.json,outputs\reports\real-ens-0012-score.md,13214174724111749338017943143826453367599509196993220699255450633508989705578,success,4,HIGH,,0.002
73,outputs\scores\real-ens-0013-score.json,outputs\reports\real-ens-0013-score.md,20404686300257550242704646761273386459664655640264490428281621095220078268383,success,4,HIGH,,0.001
74,outputs\scores\real-ens-0014-score.json,outputs\reports\real-ens-0014-score.md,31038548146097859834078018568437840147798885401616129864120868194533406456350,success,9,LOW,,0.001
75,outputs\scores\real-ens-0015-score.json,outputs\reports\real-ens-0015-score.md,108835189906614532703236602621229289879643217303874617456878894788222576090451,success,6,MEDIUM,,0.001
76,outputs\scores\real-ens-0016-score.json,outputs\reports\real-ens-0016-score.md,28252712932062322633429808688780331957150867173093906455161078029287649387260,success,6,MEDIUM,,0.001
77,outputs\scores\real-ens-0017-score.json,outputs\reports\real-ens-0017-score.md,48262157524430528705514027771464261215955420389394621161356313649894506972547,success,8,LOW,,0.001
78,outputs\scores\real-ens-0018-score.json,outputs\reports\real-ens-0018-score.md,69304512515872868228453463730257567312488838925636819022683533220991373699419,success,9,LOW,,0.001
79,outputs\scores\real-ens-0019-score.json,outputs\reports\real-ens-0019-score.md,43003012871521685709452092060115706577030630127946926655190871046443785691900,success,9,LOW,,0.001
80,outputs\scores\real-ens-0020-score.json,outputs\reports\real-ens-0020-score.md,93339540979084434403669350155813124666788975924280943502320960019054315770244,success,8,LOW,,0.001
81,outputs\scores\real-nouns-dao-0001-score.json,outputs\reports\real-nouns-dao-0001-score.md,215,success,8,LOW,,0.001
82,outputs\scores\real-nouns-dao-0002-score.json,outputs\reports\real-nouns-dao-0002-score.md,152,success,6,MEDIUM,,0.001
83,outputs\scores\real-nouns-dao-0003-score.json,outputs\reports\real-nouns-dao-0003-score.md,57,success,8,LOW,,0.001
84,outputs\scores\real-nouns-dao-0004-score.json,outputs\reports\real-nouns-dao-0004-score.md,173,success,8,LOW,,0.001
85,outputs\scores\real-nouns-dao-0005-score.json,outputs\reports\real-nouns-dao-0005-score.md,189,success,8,LOW,,0.001
86,outputs\scores\real-nouns-dao-0006-score.json,outputs\reports\real-nouns-dao-0006-score.md,223,success,8,LOW,,0.001
87,outputs\scores\real-nouns-dao-0007-score.json,outputs\reports\real-nouns-dao-0007-score.md,435,success,6,MEDIUM,,0.001
88,outputs\scores\real-nouns-dao-0008-score.json,outputs\reports\real-nouns-dao-0008-score.md,332,success,6,MEDIUM,,0.001
89,outputs\scores\real-nouns-dao-0009-score.json,outputs\reports\real-nouns-dao-0009-score.md,585,success,8,LOW,,0.001
90,outputs\scores\real-nouns-dao-0010-score.json,outputs\reports\real-nouns-dao-0010-score.md,412,success,6,MEDIUM,,0.001
91,outputs\scores\real-nouns-dao-0011-score.json,outputs\reports\real-nouns-dao-0011-score.md,554,success,6,MEDIUM,,0.001
92,outputs\scores\real-nouns-dao-0012-score.json,outputs\reports\real-nouns-dao-0012-score.md,455,success,6,MEDIUM,,0.001
93,outputs\scores\real-nouns-dao-0013-score.json,outputs\reports\real-nouns-dao-0013-score.md,763,success,6,MEDIUM,,0.001
94,outputs\scores\real-nouns-dao-0014-score.json,outputs\reports\real-nouns-dao-0014-score.md,711,success,6,MEDIUM,,0.001
95,outputs\scores\real-nouns-dao-0015-score.json,outputs\reports\real-nouns-dao-0015-score.md,676,success,4,HIGH,,0.001
96,outputs\scores\real-nouns-dao-0016-score.json,outputs\reports\real-nouns-dao-0016-score.md,795,success,6,MEDIUM,,0.001
97,outputs\scores\real-nouns-dao-0017-score.json,outputs\reports\real-nouns-dao-0017-score.md,743,success,6,MEDIUM,,0.001
98,outputs\scores\real-nouns-dao-0018-score.json,outputs\reports\real-nouns-dao-0018-score.md,773,success,4,HIGH,,0.001
99,outputs\scores\real-nouns-dao-0019-score.json,outputs\reports\real-nouns-dao-0019-score.md,823,success,6,MEDIUM,,0.001
100,outputs\scores\real-nouns-dao-0020-score.json,outputs\reports\real-nouns-dao-0020-score.md,903,success,4,HIGH,,0.001
101,outputs\scores\real-uniswap-0001-score.json,outputs\reports\real-uniswap-0001-score.md,14,success,6,MEDIUM,,0.001
102,outputs\scores\real-uniswap-0002-score.json,outputs\reports\real-uniswap-0002-score.md,31,success,6,MEDIUM,,0.001
103,outputs\scores\real-uniswap-0003-score.json,outputs\reports\real-uniswap-0003-score.md,34,success,8,LOW,,0.001
104,outputs\scores\real-uniswap-0004-score.json,outputs\reports\real-uniswap-0004-score.md,22,success,8,LOW,,0.001
105,outputs\scores\real-uniswap-0005-score.json,outputs\reports\real-uniswap-0005-score.md,26,success,6,MEDIUM,,0.001
106,outputs\scores\real-uniswap-0006-score.json,outputs\reports\real-uniswap-0006-score.md,27,success,6,MEDIUM,,0.0
107,outputs\scores\real-uniswap-0007-score.json,outputs\reports\real-uniswap-0007-score.md,50,success,8,LOW,,0.0
108,outputs\scores\real-uniswap-0008-score.json,outputs\reports\real-uniswap-0008-score.md,65,success,8,LOW,,0.001
109,outputs\scores\real-uniswap-0009-score.json,outputs\reports\real-uniswap-0009-score.md,47,success,8,LOW,,0.001
110,outputs\scores\real-uniswap-0010-score.json,outputs\reports\real-uniswap-0010-score.md,42,success,4,HIGH,,0.001
111,outputs\scores\real-uniswap-0011-score.json,outputs\reports\real-uniswap-0011-score.md,55,success,8,LOW,,0.001
112,outputs\scores\real-uniswap-0012-score.json,outputs\reports\real-uniswap-0012-score.md,53,success,4,HIGH,,0.001
113,outputs\scores\real-uniswap-0013-score.json,outputs\reports\real-uniswap-0013-score.md,70,success,8,LOW,,0.0
114,outputs\scores\real-uniswap-0014-score.json,outputs\reports\real-uniswap-0014-score.md,86,success,8,LOW,,0.001
115,outputs\scores\real-uniswap-0015-score.json,outputs\reports\real-uniswap-0015-score.md,80,success,8,LOW,,0.001
116,outputs\scores\real-uniswap-0016-score.json,outputs\reports\real-uniswap-0016-score.md,68,success,8,LOW,,0.001
117,outputs\scores\real-uniswap-0017-score.json,outputs\reports\real-uniswap-0017-score.md,78,success,4,HIGH,,0.001
118,outputs\scores\real-uniswap-0018-score.json,outputs\reports\real-uniswap-0018-score.md,94,success,2,CRITICAL,,0.001
119,outputs\scores\real-uniswap-0019-score.json,outputs\reports\real-uniswap-0019-score.md,71,success,8,LOW,,0.001
120,outputs\scores\real-uniswap-0020-score.json,outputs\reports\real-uniswap-0020-score.md,75,success,8,LOW,,0.001
